@RELATION AuthorRecognition

@ATTRIBUTE ExclamationSentences REAL
@ATTRIBUTE InverseSentences REAL
@ATTRIBUTE NegatifSentences REAL
@ATTRIBUTE Connectives REAL
@ATTRIBUTE Nums REAL
@ATTRIBUTE Pronouns REAL
@ATTRIBUTE QuestionWords REAL
@ATTRIBUTE Abbreviations REAL
@ATTRIBUTE Times REAL
@ATTRIBUTE ColonSize REAL
@ATTRIBUTE CommaSize REAL
@ATTRIBUTE EllipsisPointSize REAL
@ATTRIBUTE HypenSize REAL
@ATTRIBUTE PointSize REAL
@ATTRIBUTE QuotationSize REAL
@ATTRIBUTE SemicolonSize REAL
@ATTRIBUTE ExlamationSize REAL
@ATTRIBUTE ParanthesisSize REAL
@ATTRIBUTE QuestionMarkSize REAL
@ATTRIBUTE CapitalLetterSize REAL
@ATTRIBUTE AverageSentencesLength REAL
@ATTRIBUTE AverageWordCountPerSentences REAL
@ATTRIBUTE AverageWordLength REAL
@ATTRIBUTE Dugasts REAL
@ATTRIBUTE Guiard REAL
@ATTRIBUTE Maas REAL
@ATTRIBUTE Rubet REAL
@ATTRIBUTE Sichel REAL
@ATTRIBUTE TypeTokenRatio REAL
@ATTRIBUTE AUTHOR {Taha-Akyol,Mehmet-Ali-Birand,Leyla-İpekçi,Ekrem-Dumanlı,Rasim-Ozan,Mehmet-Barlas,A-Turan-Alkan,Can-Ataklı,Reha-Muhtar,Rıdvan-Dilmen,Haşmet-Babaoğlu,Meryem-Koray,Nazlı-Ilıcak,Gözde-Bedeloğlu,Nazan-Bekiroğlu,Mehmet-Demirkol,Okay-Karacan,Hüseyin-Gülerce,İclal-Aydın,Ahmet-Çakar}

@DATA
39.0,607.0,333.0,3973.0,56.0,54.0,0.0,0.0,9.0,28.0,300.0,0.0,28.0,254.0,341.0,0.0,11.0,34.0,0.0,19.0,94.0,12.0,6.0,741.0,1887.0,36.0,600.0,131.0,66.0,Leyla-İpekçi
0.0,511.0,441.0,3826.0,43.0,58.0,166.0,0.0,8.0,20.0,265.0,6.0,0.0,335.0,321.0,699.0,0.0,41.0,0.0,12.0,107.0,13.0,6.0,745.0,1962.0,36.0,604.0,89.0,72.0,Leyla-İpekçi
42.0,771.0,385.0,2970.0,62.0,72.0,282.0,0.0,16.0,11.0,269.0,22.0,0.0,387.0,219.0,561.0,16.0,56.0,11.0,19.0,71.0,10.0,5.0,769.0,1887.0,36.0,593.0,107.0,63.0,Leyla-İpekçi
114.0,542.0,371.0,4785.0,34.0,51.0,165.0,1320.0,16.0,0.0,313.0,14.0,52.0,231.0,328.0,0.0,29.0,14.0,14.0,19.0,141.0,17.0,6.0,750.0,2031.0,36.0,607.0,88.0,75.0,Leyla-İpekçi
31.0,714.0,206.0,2338.0,46.0,35.0,179.0,0.0,23.0,25.0,293.0,37.0,6.0,400.0,206.0,625.0,12.0,12.0,0.0,18.0,70.0,8.0,6.0,730.0,1942.0,37.0,606.0,74.0,76.0,Leyla-İpekçi
33.0,466.0,350.0,1760.0,52.0,44.0,479.0,0.0,9.0,6.0,405.0,20.0,0.0,398.0,132.0,0.0,13.0,0.0,20.0,11.0,80.0,10.0,6.0,756.0,2023.0,36.0,605.0,69.0,75.0,Leyla-İpekçi
12.0,620.0,215.0,2893.0,43.0,39.0,0.0,0.0,18.0,33.0,282.0,45.0,28.0,429.0,129.0,1129.0,5.0,0.0,33.0,17.0,54.0,7.0,6.0,726.0,1888.0,37.0,604.0,85.0,73.0,Leyla-İpekçi
56.0,535.0,267.0,2834.0,34.0,50.0,472.0,472.0,20.0,35.0,327.0,40.0,0.0,380.0,152.0,0.0,23.0,23.0,17.0,17.0,69.0,9.0,6.0,766.0,2150.0,36.0,610.0,99.0,76.0,Leyla-İpekçi
0.0,756.0,487.0,1893.0,27.0,29.0,172.0,0.0,27.0,0.0,325.0,83.0,7.0,393.0,189.0,0.0,0.0,0.0,0.0,17.0,115.0,13.0,7.0,744.0,2049.0,36.0,610.0,89.0,77.0,Leyla-İpekçi
47.0,547.0,333.0,3220.0,46.0,49.0,322.0,161.0,24.0,12.0,296.0,6.0,6.0,238.0,348.0,645.0,12.0,64.0,6.0,12.0,116.0,14.0,6.0,750.0,1958.0,36.0,602.0,86.0,71.0,Leyla-İpekçi
0.0,694.0,291.0,1946.0,56.0,15.0,176.0,176.0,21.0,0.0,265.0,41.0,6.0,538.0,139.0,0.0,0.0,0.0,6.0,16.0,66.0,8.0,7.0,742.0,2103.0,36.0,613.0,76.0,81.0,Leyla-İpekçi
130.0,478.0,456.0,2000.0,40.0,47.0,0.0,1090.0,20.0,40.0,214.0,20.0,20.0,248.0,409.0,0.0,40.0,0.0,6.0,23.0,94.0,12.0,6.0,728.0,1940.0,37.0,607.0,96.0,74.0,Leyla-İpekçi
81.0,648.0,216.0,1818.0,60.0,52.0,0.0,0.0,30.0,28.0,234.0,14.0,0.0,468.0,191.0,709.0,42.0,14.0,0.0,22.0,55.0,7.0,6.0,718.0,1790.0,37.0,599.0,102.0,68.0,Leyla-İpekçi
250.0,500.0,250.0,3321.0,36.0,31.0,0.0,1398.0,17.0,18.0,175.0,0.0,12.0,162.0,600.0,0.0,12.0,12.0,6.0,25.0,181.0,23.0,6.0,725.0,1785.0,37.0,597.0,77.0,68.0,Leyla-İpekçi
36.0,743.0,207.0,1244.0,48.0,60.0,0.0,0.0,31.0,14.0,314.0,100.0,4.0,442.0,71.0,0.0,14.0,19.0,19.0,15.0,59.0,7.0,6.0,763.0,2066.0,36.0,606.0,110.0,72.0,Leyla-İpekçi
38.0,692.0,365.0,2826.0,33.0,44.0,2120.0,883.0,28.0,48.0,250.0,8.0,16.0,306.0,250.0,0.0,16.0,0.0,104.0,16.0,78.0,10.0,6.0,726.0,1832.0,37.0,600.0,82.0,70.0,Leyla-İpekçi
68.0,545.0,318.0,2127.0,56.0,67.0,354.0,177.0,21.0,57.0,449.0,0.0,0.0,217.0,202.0,0.0,21.0,28.0,21.0,19.0,94.0,12.0,6.0,736.0,2004.0,36.0,609.0,90.0,76.0,Leyla-İpekçi
0.0,413.0,413.0,2979.0,44.0,35.0,931.0,0.0,24.0,43.0,324.0,35.0,0.0,228.0,342.0,0.0,0.0,0.0,26.0,14.0,150.0,18.0,6.0,726.0,1980.0,37.0,610.0,78.0,78.0,Leyla-İpekçi
37.0,716.0,271.0,1745.0,24.0,69.0,698.0,0.0,12.0,6.0,331.0,49.0,0.0,472.0,67.0,0.0,18.0,0.0,55.0,17.0,53.0,7.0,6.0,737.0,1967.0,36.0,606.0,53.0,77.0,Leyla-İpekçi
23.0,558.0,534.0,2680.0,50.0,40.0,0.0,837.0,15.0,35.0,285.0,8.0,17.0,357.0,285.0,0.0,8.0,0.0,0.0,13.0,108.0,13.0,6.0,747.0,2009.0,36.0,606.0,52.0,77.0,Leyla-İpekçi
20.0,540.0,420.0,1757.0,63.0,71.0,479.0,159.0,14.0,52.0,256.0,19.0,6.0,282.0,250.0,1973.0,6.0,78.0,26.0,14.0,96.0,12.0,6.0,759.0,2082.0,36.0,608.0,71.0,77.0,Leyla-İpekçi
54.0,636.0,345.0,2508.0,38.0,43.0,334.0,0.0,23.0,18.0,207.0,18.0,12.0,308.0,352.0,628.0,18.0,37.0,18.0,20.0,83.0,11.0,6.0,751.0,2073.0,36.0,609.0,69.0,78.0,Leyla-İpekçi
104.0,479.0,145.0,1360.0,68.0,85.0,680.0,0.0,30.0,74.0,127.0,31.0,0.0,287.0,287.0,5319.0,53.0,0.0,85.0,20.0,42.0,6.0,6.0,585.0,1370.0,41.0,604.0,68.0,74.0,Haşmet-Babaoğlu
320.0,440.0,80.0,3097.0,48.0,44.0,0.0,0.0,13.0,0.0,238.0,74.0,0.0,298.0,208.0,1492.0,119.0,29.0,14.0,11.0,66.0,8.0,6.0,546.0,1396.0,42.0,624.0,95.0,84.0,Haşmet-Babaoğlu
171.0,428.0,257.0,1993.0,49.0,39.0,1993.0,0.0,26.0,0.0,138.0,30.0,0.0,400.0,230.0,0.0,92.0,0.0,107.0,21.0,54.0,7.0,6.0,600.0,1521.0,40.0,614.0,90.0,79.0,Haşmet-Babaoğlu
266.0,533.0,288.0,3559.0,38.0,45.0,1294.0,0.0,29.0,10.0,218.0,62.0,0.0,354.0,187.0,1041.0,125.0,0.0,31.0,19.0,48.0,6.0,6.0,605.0,1541.0,40.0,614.0,77.0,80.0,Haşmet-Babaoğlu
228.0,485.0,228.0,3787.0,71.0,56.0,1515.0,378.0,18.0,0.0,141.0,64.0,0.0,371.0,269.0,0.0,102.0,0.0,51.0,28.0,51.0,7.0,5.0,566.0,1341.0,42.0,608.0,64.0,77.0,Haşmet-Babaoğlu
297.0,351.0,135.0,4193.0,45.0,51.0,322.0,0.0,22.0,33.0,100.0,55.0,0.0,300.0,333.0,0.0,144.0,22.0,11.0,19.0,58.0,8.0,6.0,603.0,1499.0,40.0,610.0,79.0,78.0,Haşmet-Babaoğlu
318.0,590.0,227.0,2333.0,50.0,33.0,1333.0,0.0,53.0,53.0,225.0,43.0,0.0,268.0,172.0,2150.0,150.0,21.0,43.0,20.0,47.0,6.0,5.0,591.0,1408.0,41.0,606.0,94.0,73.0,Haşmet-Babaoğlu
279.0,441.0,325.0,4477.0,59.0,44.0,298.0,0.0,20.0,17.0,80.0,116.0,0.0,348.0,276.0,892.0,116.0,17.0,17.0,23.0,57.0,8.0,6.0,622.0,1600.0,40.0,613.0,75.0,80.0,Haşmet-Babaoğlu
384.0,423.0,346.0,2362.0,55.0,31.0,393.0,0.0,19.0,0.0,66.0,66.0,44.0,377.0,177.0,0.0,222.0,0.0,44.0,21.0,70.0,9.0,5.0,559.0,1336.0,42.0,610.0,84.0,76.0,Haşmet-Babaoğlu
